title
"Number of Jobs Ended: by User Institution"
parameters

start,end
2015-03-01,2015-03-31
---------
"User Institution","Number of Jobs Ended","Number of Jobs via Gateway","Number of Jobs Running","Number of Jobs Started","Number of Jobs Submitted","Number of Users: Active","Number of PIs: Active","Number of Allocations: Active","Number of Institutions: Active","XD SUs Charged: Total","NUs Charged: Total","CPU Hours: Total","Node Hours: Total","Wait Hours: Total","Wall Hours: Total","XD SUs Charged: Per Job","Std Err of XD SUs Charged: Per Job","NUs Charged: Per Job","Std Err of NUs Charged: Per Job","CPU Hours: Per Job","Std Err of CPU Hours: Per Job","Node Hours: Per Job","Std Err of Node Hours: Per Job","Wait Hours: Per Job","Std Err of Wait Hours: Per Job","Wall Hours: Per Job","Std Err of Wall Hours: Per Job","Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)","Job Size: Min (Core Count)","Job Size: Max (Core Count)","XSEDE Utilization (%)","User Expansion Factor","Job Size: Normalized (% of Total Cores)","Job Size: Weighted By XD SUs (Core Count)","Number of Resources: Active","Allocation Usage Rate (XD SU/Hour)"
"U Nebraska, Lincoln - University of Nebraska, Lincoln",3878,0,3899,3877,3854,29,3,3,1,256792,5540544.192,55890.2643,3579.6179,704.9748,231.8012,66.2176,10.898127481719817,1428.7117566,235.13799854558678,14.41213623,2.3696990478223214,0.92305774,0.14894824695722908,0.18183513,0.03642059084949702,0.05977339,0.004014975249992566,94,1.98944170218529,1,912,0.072669126%,17.2737,0.08044,651.3087,3,345.6151
"Harvard U - Harvard University",3480,0,3562,3222,1847,18,10,10,1,1743225,37611822.600,377691.9499,24553.5638,29346.9364,5011.9783,500.9267,63.56475930871974,10807.9950000,1371.473246844937,108.53216951,13.821899650169815,7.05562178,0.8636210327043322,9.10829808,0.19230823260619806,1.44022365,0.0432868412694186,48,3.514571729378275,1,8192,0.453930790%,6.2940,0.03763,507.6527,3,2346.1978
"Cornell U - Cornell University",3130,0,3598,3140,2317,26,18,19,1,3031440,65406349.440,983834.4579,42519.2815,20992.7055,12268.5855,968.5112,43.557792228315485,20896.5972652,939.8029251181349,314.32410796,12.406657599315036,13.58443498,0.6174705338231877,6.68557500,0.21098290449035934,3.91967588,0.11694095289863195,53,2.0194596278918238,16,1024,1.037198491%,3.6984,0.03423,170.0405,5,4080.0000
"UCLA - University of California, Los Angeles",3078,0,3700,3082,2507,38,16,16,1,2196767,47397444.792,513573.1323,29866.4357,16850.9866,13427.7945,713.6995,57.010657786086234,15398.7799844,1230.0619523925966,166.85286949,12.505085317920367,9.70319548,0.7827354037389901,5.46754919,0.22388525813548513,4.36250634,0.09738990681165656,37,1.753562936132967,16,2048,0.595460424%,3.6836,0.02811,252.1357,4,2956.6178
"MIT - Massachusetts Institute of Technology",3018,0,3957,3043,1125,32,21,22,1,18269110,394174317.360,3941229.0564,246281.0375,60567.7715,23607.6349,6053.3830,495.7360859560518,130607.7923658,10696.001790587774,1305.90757336,107.66415674042383,81.60405484,6.729070182633506,19.90396697,0.305483008242662,7.82227797,0.1482074179025676,116,7.193347627106926,16,4096,5.674455028%,2.7946,0.11043,1775.5557,2,24588.3042
"SUNY Buffalo - SUNY at Buffalo",2902,2894,2905,2902,2820,2,1,1,1,130554,2816833.104,32572.4714,1649.3544,10258.3510,458.8319,44.9876,1.801896324590404,970.6523446,38.87771509936256,11.22414590,0.529291249756708,0.56835093,0.02319369216547683,3.53492453,0.11796398807946834,0.15810886,0.005823396394063797,75,1.186661160744164,16,320,0.036782466%,30.2803,0.05566,112.7878,4,175.7120
"UC Berkeley - University of California, Berkeley",2887,0,3158,2885,2438,75,22,23,1,6680169,144131326.344,1454820.5440,95021.8800,14323.3535,5413.0543,2313.8791,206.34592214400925,49924.2557478,4452.119616179144,503.92121372,44.80877442999431,32.91370973,2.8957690549095947,4.96476724,0.21690602879841184,1.87497551,0.0894338521713119,208,11.069698987438601,1,8192,1.686786171%,7.3109,0.15800,1344.9094,4,8990.8062
"U Michigan - University of Michigan",2682,0,3222,2685,1073,39,14,14,1,6154195,132782911.320,1329571.9149,83098.2440,47778.1701,13061.9512,2294.6290,166.1623301812531,49508.9154810,3585.118435990717,495.73896902,35.84502278446475,30.98368531,2.2403139240290484,17.79447676,0.3386873158602118,4.87022789,0.12105469819413392,72,4.40384967177452,16,4096,1.941692946%,3.6374,0.07031,651.5393,1,8282.9004
"U Chicago - University of Chicago",2646,0,4158,2684,2368,8,4,4,1,5452503,117643204.728,1141508.0846,71344.2562,9807.2113,32711.8169,2060.6587,76.09434628043623,44460.7727619,1641.8116153466922,431.40895110,16.48650284545327,26.96305979,1.0304064278408298,3.65395354,0.17373652756148422,12.36274259,0,48,2.2305160601850873,16,1024,1.467001231%,3.4734,0.04096,254.8698,2,7338.4966
"Einstein College of Med - Albert Einstein College of Medicine",2518,0,2687,2489,2182,5,4,4,1,1121248,24192046.848,240753.2087,15031.5967,9881.7664,5758.9067,445.2931,20.73546430459689,9607.6437045,447.38837783598245,95.61287081,4.441008388914597,5.96965715,0.27751873165718866,3.97017533,0.22372451538139304,2.28709559,0.07680857836545131,28,0.6940571182663486,1,256,0.285979413%,4.2741,0.02151,81.9477,4,1509.0821
"U Utah - University of Utah",2466,0,3389,2375,1743,23,11,11,1,2821247,60871225.272,588885.3417,36773.4161,19087.8509,23430.2098,1144.0580,63.19255131842235,24684.1951630,1363.4424872462807,238.80184173,13.581678530845815,14.91217198,0.8488996679240356,8.03698985,0.4774450531131351,9.50130162,0.1440474167617134,198,29.470200155752174,16,16384,0.707754530%,5.5222,0.15523,719.6522,3,3797.1023
"U Pittsburgh - University of Pittsburgh",2400,0,3372,2406,2049,37,10,11,1,17961284,387532663.584,962352.7394,77970.9624,11015.2763,24104.4112,7483.8683,189.84161370274023,161471.9431600,4096.022657250323,400.98030808,22.074412425533684,32.48790100,2.030727874287831,4.57825283,0.2316097760515952,10.04350467,0.14889483126813927,126,6.1246865353461155,1,4096,1.066843833%,3.0396,0.08663,45.5692,5,24174.0027
"Iowa State U - Iowa State University",2130,0,2533,2131,1233,14,8,8,1,4051311,87411086.136,1078322.2891,306075.4002,30741.2191,10461.4908,1902.0239,204.9190951680566,41038.0686085,4421.33439734599,506.25459582,47.50308148266495,143.69737099,18.214147794429728,14.42572459,0.3756854779861335,4.91149803,0.13829830360940198,143,8.264123598177761,16,4096,1.402826901%,2.3077,0.12577,828.1756,3,5452.6393
"U Illinois, Chicago - University of Illinois at Chicago",2068,0,2235,2072,1983,5,4,4,1,414394,8940964.944,99861.6880,24325.1417,2120.5825,2687.4419,200.3839,16.205173976549847,4323.4840155,349.6428337180395,48.28901741,4.7219256559700336,11.76264105,3.4638714682720306,1.02344715,0.1103026496862257,1.29953670,0.04526563819300081,26,0.6199212049860654,16,256,0.137742220%,1.9928,0.02382,98.1362,3,557.7308
"TACC - University of Texas at Austin",2034,426,2242,2039,1234,25,14,14,1,6966787,150315396.312,1647816.4031,113616.9798,24689.0718,4676.3632,3425.1657,388.03247886827745,73901.3747847,8372.188764061955,810.13589140,85.56796584139505,55.85888879,5.4699978380417855,12.10842168,0.34286005985543055,2.29909695,0.1175344435415983,680,57.96670212890489,12,16384,2.406453875%,5.0320,0.54376,6212.2217,2,9376.5639
"Penn State U - Pennsylvania State University",1949,0,2306,1955,877,27,11,11,1,1760324,37980750.624,381444.9257,23834.7407,30868.9192,7433.6782,903.1934,48.239651320890296,19487.3015003,1040.8187168995291,195.71314813,10.476207130949675,12.22921534,0.6547833566378343,15.78972849,0.35163732137463594,3.81409861,0.12418534762884158,101,3.094646913072406,16,1280,0.549192154%,6.6363,0.09615,219.6178,2,2369.2113
"U Wisconsin-Madison - University of Wisconsin-Madison",1948,0,2842,1988,1367,18,11,11,1,5627284,121414279.584,1134182.0522,70043.9983,19964.1071,20333.2515,2888.7495,186.96330484288114,62327.6589240,4033.9202652900035,582.22897957,39.20329422988651,35.95687798,2.4418137474280357,10.04230739,0.3993601102689114,10.43801412,0.18458542987171522,50,3.1959991867873887,16,2048,1.280775179%,2.4405,0.03710,306.4587,4,7573.7335
"ANL - Argonne National Laboratory",1831,0,1863,1776,1738,4,3,4,1,1040461,22448986.536,228754.9863,18187.5866,3995.8881,1190.8508,568.2474,79.4192668109672,12260.5060273,1713.5501007134283,124.93445456,17.26348394473381,9.93314397,1.0708430408793177,2.24993699,0.15350890322657337,0.65038274,0.061749738650258845,30,1.8048721563220491,16,1024,0.282917664%,4.2126,0.02474,282.7376,3,1400.3513
"Johns Hopkins U - Johns Hopkins University",1707,1223,1856,1712,1440,22,16,16,1,1339176,28894061.376,296917.7717,30667.4244,7993.0072,3464.6698,784.5202,67.17165553595714,16926.8080703,1449.2956398438114,173.94128395,14.679111132908124,17.96568506,2.3477317906566975,4.66881262,0.25330995130434286,2.02968354,0.11761825525431524,71,6.432878325981108,16,2560,0.313164143%,2.8749,0.04682,192.6702,5,1802.3903
"Columbia U - Columbia University in the City of New York",1654,0,2094,1655,1177,24,15,15,1,9441785,203715953.160,2018590.7167,126163.3817,15659.7782,9494.1987,5708.4553,370.794500671947,123165.6306892,8000.262146497928,1220.42969571,80.11193337056575,76.27773984,5.006987718195939,9.46210163,0.4293152497437958,5.74014432,0.14150694680685727,166,17.67107278388158,4,16384,2.426052447%,4.1857,0.13014,1276.5587,3,12707.6514
"RPI - Rensselaer Polytechnic Institute",1566,0,2564,1585,389,12,7,8,1,8943300,192960640.800,1952784.5242,121877.7138,50539.3221,23944.7647,5710.9195,286.1464930826393,123218.8000000,6173.896734751026,1246.98884049,62.151033551089995,77.82740345,3.885502012736343,31.88600763,0.9897192809936649,15.29039891,0.044051544493892245,134,12.34611248896905,16,4096,2.643639523%,2.6454,0.11883,358.1710,2,12036.7429
"U Maryland - University of Maryland, College Park",1555,0,1936,1564,625,19,9,9,1,21095843,455163908.568,4584890.6145,300258.0290,32456.2109,9915.1483,13566.4585,1640.2917170914623,292709.9090469,35390.93408796539,2948.48271029,355.7027779375294,193.09198006,22.234688189263295,20.75205301,0.9777951900394848,6.37630116,0.14822753912576422,134,14.72841368298886,16,4096,6.410801868%,6.3688,0.12583,3501.5313,2,28392.7900
"UC Santa Barbara - University of California, Santa Barbara",1419,0,1775,1397,651,20,7,7,1,6065302,130864955.952,1313400.5844,82043.8098,25315.4226,9702.6045,4274.3495,176.84708458604734,92223.3657167,3815.6526970285577,925.58180719,38.35753757387289,57.81804778,2.3978364951413362,18.12127602,0.48157654613718776,6.83763531,0.166358582831593,168,11.70824350010668,8,2816,1.778054697%,6.3889,0.14898,336.3722,2,8163.2598
"Ohio State U - Ohio State University",1354,0,1484,1356,1073,11,4,4,1,3149818,67960473.168,678678.7913,42417.4244,5406.9204,5050.6447,2326.3058,285.92108805244726,50192.3730931,6169.033395819602,501.23987541,62.18867928636252,31.32749217,3.8867924553976585,3.98740442,0.19095698832969,3.73016595,0.0970651272642985,104,22.428034721777532,16,16384,0.872199361%,2.7845,0.08875,1885.0812,2,4239.3244
"NICS - University of Tennessee, Knoxville",1248,0,1505,1263,619,9,8,8,1,1106847,23881330.872,387385.8051,15996.0548,25850.0055,5168.1706,886.8966,52.63990992821424,19135.6817885,1135.7586966111503,310.40529255,23.00906233292172,12.81735160,0.7841454352905387,20.46714608,0.981470085504628,4.14116234,0.17632407762964167,63,4.112350655038425,16,1600,0.502564607%,5.1986,0.05017,185.1476,2,1489.6999
"UC Davis - University of California, Davis",1180,0,1833,1178,1114,15,9,9,1,1150950,24832897.200,334365.2715,16385.6723,2444.8891,14601.0369,975.3814,39.229046551630354,21044.8281356,846.4059083979765,283.36039958,8.96655444875597,13.88616297,0.49356760088764823,2.07545764,0.20091595985657165,12.37376008,0.2192513573417666,22,0.5199621623913034,16,288,0.387678548%,1.3673,0.01671,40.2942,4,1549.0579
"U Minn - University of Minnesota",1152,0,1408,1152,536,9,6,6,1,1447489,31231022.664,315656.1823,19368.5739,14076.8856,5017.6419,1256.5009,158.68493333184287,27110.2627292,3423.7861215678417,274.00710269,34.759349990593414,16.81299818,2.157544953369665,12.21951875,0.3605138174990039,4.35559193,0.10567761393938206,74,5.1361901045530765,16,1440,0.379372820%,5.9766,0.05802,568.6274,3,1948.1682
"U Melbourne - University of Melbourne",1144,0,1304,1144,485,1,1,1,1,216834,4678410.384,44048.6176,2753.0382,7141.4205,2657.0077,189.5402,10.190297776956042,4089.5195664,219.86586483560356,38.50403636,2.0812379600956397,2.40650192,0.13007737250597834,6.24250044,0.12363637369014595,2.32255918,0.11211531595065845,17,0.019761914268661314,16,32,0.471740556%,3.5941,0.11498,17.1183,1,291.8358
"UC Riverside - University of California, Riverside",1131,0,1421,1135,802,13,9,9,1,4211289,90862771.464,931114.6283,58470.4956,9239.2402,7256.8909,3723.5093,514.5237124356913,80338.4363077,11101.363619512476,823.26669169,111.6740640197102,51.69805093,6.9781215470110824,8.14029974,0.3979091057798287,6.41634916,0.21227526053819556,169,18.12607219907099,8,4096,1.260523832%,3.8127,0.14987,1345.2510,2,5667.9529
"UT Med Branch - University of Texas Medical Branch at Galveston",1099,0,1398,1084,219,4,1,1,1,979833,21140876.808,206861.4284,12470.3922,30658.9107,6299.9435,891.5678,53.95029639486627,19236.4666133,1164.0315950156346,188.22695942,11.739364632293844,11.34703567,0.7275379629027512,28.28312795,0.5656826827562637,5.73243267,0.15604301074611904,77,3.5556742505744183,16,1024,0.248745293%,10.8219,0.06190,202.3921,3,1318.7524
"NREL - National Renewable Energy Laboratory",994,0,1112,966,4,7,2,2,1,1232059,26582904.984,267191.4231,16699.1509,26879.3890,4107.9507,1239.4960,189.28973974277002,26743.3651751,4084.115424690006,268.80424859,41.002881525973336,16.79995060,2.562682000256579,27.82545445,0.18169631395126482,4.13274718,0.09535371415466344,31,2.7486371567030647,16,640,0.384693630%,4.3486,0.02951,458.5024,2,1658.2221
"Texas A&M - Texas A&M University",957,0,1009,958,824,11,7,7,1,4573329,98674146.504,994372.9950,62166.1234,4203.7145,1974.2931,4778.8182,1011.9202766666978,103107.7810909,21833.19188936067,1039.05224138,220.0307292906891,64.95937659,13.751842997849492,4.38801096,0.34637462548363884,2.06300219,0.1368236805341822,287,20.761070463116106,1,4096,1.265824716%,5.3895,0.24284,2471.1868,3,6155.2207
"Purdue - Purdue University",920,357,1264,915,481,8,8,8,1,1616076,34868455.776,385248.9556,21806.8859,12578.2593,7488.6754,1756.6043,243.04561420663896,37900.4954087,5243.952172122442,418.74886478,52.944214230077016,23.70313685,3.3025938366421617,13.74673148,0.6809363383375657,8.13986457,0.25137143198098016,51,2.5844681524168185,16,1600,0.463013212%,3.4136,0.03998,423.8123,3,2175.0686
"Arizona State U - Arizona State University",899,0,994,891,722,15,5,5,1,1088517,23485842.792,243597.6335,14768.4719,4086.5657,2401.8570,1210.8087,128.2300032108426,26124.4080000,2766.69054927714,270.96510957,27.877172034434736,16.42766618,1.7424166601674766,4.58649349,0.3000747734358623,2.67169855,0.17837749440415865,336,16.68783524051132,1,4096,0.289358171%,7.0920,0.25808,399.6245,4,1465.0296
"Brandeis U - Brandeis University",899,0,1382,899,528,2,1,1,1,1136622,24523756.272,269984.2189,14109.1897,12212.5877,14109.1897,1264.3181,0,27278.9280000,0,300.31615006,3.3072629958723434,15.69431557,0.06835764423724781,13.58463593,0.5885416009610699,15.69431557,0.06835764423724781,20,0.11183009217989212,16,32,0.360709820%,1.8656,0.01733,19.1979,3,1529.7739
"U Notre Dame - University of Notre Dame",890,0,1089,894,320,7,3,3,1,787269,16986115.944,169154.6752,10572.1679,16174.2979,4618.5032,884.5719,66.87251226718745,19085.5235326,1442.8413246768364,190.06143281,14.2999338770572,11.87884034,0.8937458673160753,18.09205582,0.49801245154303386,5.18932944,0.25217762117698644,68,4.805746033418192,16,1024,0.217387963%,7.3588,0.05803,90.0948,2,1059.5814
"NM State U - New Mexico State University",860,0,968,854,737,5,3,4,1,187296,4041098.496,45189.8322,3674.5961,3754.3534,2341.0538,217.7860,28.993540852229465,4698.9517395,625.5646374277029,52.54631651,6.409229610058,4.27278616,0.41630392853576326,4.39619836,0.35649672087438583,2.72215558,0.19083667613588887,30,4.343080081091564,1,2048,0.061177065%,3.7167,0.02660,202.9723,2,252.0808
"Caltech - California Institute of Technology",855,0,978,853,729,18,11,11,1,3614322,77982611.472,774919.9687,48136.4068,4059.9389,2956.8606,4227.2772,493.4714304710947,91207.7327158,10647.13958384434,906.33914468,106.8200340664348,56.29989099,6.678093225484655,4.75960012,0.42410438456923505,3.45831649,0.2025540459551056,119,14.041623196175268,16,4096,0.931341094%,3.0071,0.09329,730.3217,3,4864.4980
"Rice U - Rice University",841,0,1080,836,601,11,6,7,1,1362300,29392984.800,307210.0539,18508.4325,17389.2913,4654.6263,1619.8573,275.35773067165684,34950.0413793,5941.1183969716685,365.29138395,60.201888575014095,22.00764863,3.742118450620894,20.80058768,2.2714212568089778,5.53463294,0.2405945531308476,138,15.001325476053266,16,4032,0.415894652%,8.1325,0.12238,1683.8450,2,1833.5128
"Michigan State U - Michigan State University",840,0,947,838,675,6,6,6,1,3176632,68539012.032,687441.2795,42963.6801,5352.3779,2647.6827,3781.7048,297.7515882683304,81594.0619429,6424.288268477497,818.38247560,64.54564251565479,51.14723821,4.034126358039976,6.38708580,0.4435741358402447,3.15200321,0.21047335020530392,101,8.15159441438291,16,2400,0.840018607%,3.4235,0.08150,374.7659,4,4275.4132
"U Washington - University of Washington",810,0,1047,818,658,27,13,13,1,460986,9946233.936,140706.0348,52916.6078,4517.5733,6126.5849,569.1185,27.025195149398524,12279.3011556,583.0956105434226,173.71115407,6.785993221556893,65.32914543,4.622684819305346,5.52270575,0.36155646284786735,7.56368506,0.30180254668931794,53,4.032054422049407,1,1008,0.182947508%,1.5141,0.04535,112.3756,3,620.4388
"CU Boulder - University of Colorado, Boulder",807,0,894,806,726,18,14,14,1,764030,16484711.280,172377.6317,10840.8696,2219.7839,1548.0103,946.7534,240.7301822134432,20427.1515242,5193.99441143725,213.60301326,52.31588579984881,13.43354349,3.2694245337335563,2.75407432,0.28857965223953935,1.91822838,0.11688260629523403,111,16.110658895601176,8,4096,0.207172842%,7.2770,0.08702,1843.6803,3,1028.3042
"U New England - University of New England",793,0,1589,796,794,1,1,2,1,842352,18174586.752,20410.2134,18919.1844,63.0108,18919.1844,1062.2346,0,22918.7727011,0,25.73797402,0,23.85773569,0,0.07915930,0.05550280729803355,23.85773569,0,2,0.0532305924831651,1,16,0.029486909%,1.0003,0.00193,1.1302,2,1133.7174
"Boston U - Boston University",756,0,982,757,545,8,6,6,1,3087803,66622437.528,671087.6144,37587.0519,6575.0672,5292.2597,4084.3955,476.32606380150895,88124.9173651,10277.211152581358,887.68202963,103.7218730384637,49.71832262,5.423957272577195,8.68568983,0.5263180041202066,7.00034352,0.29287600098844935,104,9.332767349174755,16,1460,0.757825746%,3.3407,0.07718,735.1473,4,4155.8587
"U Virginia - University of Virginia",751,0,930,717,627,10,6,6,1,3075206,66350644.656,1094539.8748,44488.2584,3579.4321,4119.2895,4094.8149,741.1367858176877,88349.7265726,15990.76729080243,1457.44324208,278.1916792859569,59.23869294,10.73450146438729,4.99223445,0.4341546471701484,5.48507257,0.2966018577949003,146,17.3602000477764,16,4864,1.279901377%,2.8089,0.10426,2268.7979,4,4138.9044
"NW Missouri State U - Northwest Missouri State University",743,0,747,743,737,26,1,2,1,11402,246009.552,2074.4979,129.6568,23.3207,75.7058,15.3459,3.9971471144577593,331.1030310,86.24244614154061,2.79205639,0.5346988328879283,0.17450444,0.03341867705549588,0.03138721,0.012198523645951836,0.10189206,0.018084130640893276,23,0.4795309167141123,16,64,0.003029575%,1.6546,0.02246,37.0096,1,15.3459
"U Pennsylvania - University of Pennsylvania",730,0,1023,725,508,14,7,7,1,715470,15436980.720,154711.6425,9618.5121,6605.5879,5439.0875,980.0959,58.04237396233093,21146.5489315,1252.3222606112522,211.93375685,12.827579165227347,13.17604397,0.7983138735728709,9.11115572,0.4976946210923322,7.45080479,0.21627611408597042,28,1.1250814826363489,2,192,0.179379828%,2.8611,0.02127,66.1467,4,962.9475
"Drexel U - Drexel University",710,0,971,715,396,15,6,6,1,1675810,36157276.560,385589.8936,72298.2893,8481.3311,6140.7867,2360.2958,113.92629198777996,50925.7416338,2458.0736759283404,543.08435718,25.855348318709915,101.82857648,13.851180082567604,11.86200154,0.6292086776683603,8.64899535,0.30492409356707656,50,1.3984636196303064,16,256,0.447070742%,1.9597,0.03798,80.0311,4,2255.4643
"Washington U - Washington University in St. Louis",708,0,734,712,671,8,3,3,1,328846,7095181.296,71490.1064,4468.1311,1227.1132,693.3843,464.4718,91.52268618076033,10021.4425085,1974.693477036085,100.97472655,19.900209430054442,6.31091963,1.2437630893784026,1.72347360,0.2189197517759483,0.97935636,0.10431747379461254,61,3.290432871227794,16,1024,0.104403405%,3.7789,0.05957,276.1864,1,442.5922
"TAMIU - Texas A&M International University",696,0,837,696,558,4,1,1,1,318011,6861405.336,64425.8400,4026.6152,1729.7008,4026.6152,456.9124,22.782551469904416,9858.3410000,491.5563305146577,92.56586207,4.627525526636168,5.78536667,0.28922034541476205,2.48520230,0.15970161819634834,5.78536667,0.28922034541476205,16,0,16,16,0.689971292%,1.4296,0.10822,16.0000,1,428.0094
"CIW - Carnegie Institution of Washington",682,0,787,681,576,4,4,4,1,2427625,52378437.000,506622.5954,26651.4583,3297.9518,2682.7348,3559.5674,251.9037370560019,76801.2272727,5435.075030720297,742.84838035,52.20799836220289,39.07838460,2.6535385133160294,4.84280734,0.4316228162029433,3.93362874,0.20109077364265612,147,7.1229154732883115,16,640,0.729418943%,2.4147,0.13995,433.8364,2,3267.3284
"U New Mexico - University of New Mexico",660,0,672,660,573,4,4,4,1,720684,15549477.984,156704.6884,9794.0429,3025.5012,477.3873,1091.9455,260.0971676903666,23559.8151273,5611.85649008735,237.43134606,56.55515612794126,14.83945894,3.5346972579963287,4.58409273,0.46065626638616375,0.72331409,0.11148516579948048,162,10.555418321542648,16,2048,0.228849891%,2.6911,0.15820,519.3904,1,969.9650
"U Detroit Mercy - University of Detroit Mercy",617,0,617,603,616,22,1,1,1,436,9407.136,230.0309,230.0309,627.8198,14.3773,0.7066,0.46551171774246286,15.2465737,10.04388082201138,0.37282156,0.23330767535985256,0.37282156,0.23330767535985256,1.04116053,0.01959341338879372,0.02330194,0.0145817297099911,16,0,16,16,0.007558531%,48.1778,0.39063,16.0000,1,0.5868
